"ID" "Group" "time_variables" "rats" "time_variable"
"1" "1" "1" "WD1" 240 1
"2" "2" "1" "WD1" 225 1
"3" "3" "1" "WD1" 245 1
"4" "4" "1" "WD1" 260 1
"5" "5" "1" "WD1" 255 1
"6" "6" "1" "WD1" 260 1
"7" "7" "1" "WD1" 275 1
"8" "8" "1" "WD1" 245 1
"9" "9" "2" "WD1" 410 1
"10" "10" "2" "WD1" 405 1
"11" "11" "2" "WD1" 445 1
"12" "12" "2" "WD1" 555 1
"13" "13" "3" "WD1" 470 1
"14" "14" "3" "WD1" 535 1
"15" "15" "3" "WD1" 520 1
"16" "16" "3" "WD1" 510 1
"17" "1" "1" "WD15" 255 15
"18" "2" "1" "WD15" 230 15
"19" "3" "1" "WD15" 250 15
"20" "4" "1" "WD15" 255 15
"21" "5" "1" "WD15" 255 15
"22" "6" "1" "WD15" 270 15
"23" "7" "1" "WD15" 260 15
"24" "8" "1" "WD15" 260 15
"25" "9" "2" "WD15" 425 15
"26" "10" "2" "WD15" 430 15
"27" "11" "2" "WD15" 450 15
"28" "12" "2" "WD15" 565 15
"29" "13" "3" "WD15" 475 15
"30" "14" "3" "WD15" 530 15
"31" "15" "3" "WD15" 530 15
"32" "16" "3" "WD15" 520 15
"33" "1" "1" "WD22" 260 22
"34" "2" "1" "WD22" 232 22
"35" "3" "1" "WD22" 255 22
"36" "4" "1" "WD22" 265 22
"37" "5" "1" "WD22" 270 22
"38" "6" "1" "WD22" 275 22
"39" "7" "1" "WD22" 270 22
"40" "8" "1" "WD22" 268 22
"41" "9" "2" "WD22" 428 22
"42" "10" "2" "WD22" 440 22
"43" "11" "2" "WD22" 452 22
"44" "12" "2" "WD22" 580 22
"45" "13" "3" "WD22" 485 22
"46" "14" "3" "WD22" 533 22
"47" "15" "3" "WD22" 540 22
"48" "16" "3" "WD22" 515 22
"49" "1" "1" "WD29" 262 29
"50" "2" "1" "WD29" 240 29
"51" "3" "1" "WD29" 262 29
"52" "4" "1" "WD29" 265 29
"53" "5" "1" "WD29" 270 29
"54" "6" "1" "WD29" 275 29
"55" "7" "1" "WD29" 273 29
"56" "8" "1" "WD29" 270 29
"57" "9" "2" "WD29" 438 29
"58" "10" "2" "WD29" 448 29
"59" "11" "2" "WD29" 455 29
"60" "12" "2" "WD29" 590 29
"61" "13" "3" "WD29" 487 29
"62" "14" "3" "WD29" 535 29
"63" "15" "3" "WD29" 543 29
"64" "16" "3" "WD29" 530 29
"65" "1" "1" "WD36" 258 36
"66" "2" "1" "WD36" 240 36
"67" "3" "1" "WD36" 265 36
"68" "4" "1" "WD36" 268 36
"69" "5" "1" "WD36" 273 36
"70" "6" "1" "WD36" 277 36
